weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98701
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98709
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98717
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,98731
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98738
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98750
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,98754
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98756
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98759
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98768
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.75,45 CAL,1.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,GARBAGE CAN,OVER 15FT,UNKNOWN,OTHER (SPECIFY),98774
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98780
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98790
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98794
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98812
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98839
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98849
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4 IN, 9 MM,1.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,10-15FT,OBJECT,STANDING,98860
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98881
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98892
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98896
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98903
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98912
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98919
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98997
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99020
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99024
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99028
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99050
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99067
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,30,4, 45 ACP,4.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,True,VEHICLE,10-15FT,UNKNOWN,SITTING,99075
